imputation,model,r2,adj_r2,cv_r2
pmm,model_2_productivity,0.017863010171669927,0.01778753277920937,0.0176957281746079
cart,model_2_productivity,0.017432930253036782,0.017357419808862316,0.017162935802608935
rf,model_2_productivity,0.015554550671133817,0.015478895873173349,0.015306504365451574
