Salary,Uses_AI,Years_Exp,Job_Satisfaction,Is_Remote,TimeSearching
18548,1,8,7,0,30-60 minutes a day
4785,1,4,8,0,15-30 minutes a day
68740,0,25,9,1,60-120 minutes a day
26852,1,19,7,1,15-30 minutes a day
61222,0,2,6,0,60-120 minutes a day
150664,0,20,9,1,30-60 minutes a day
56400,0,18,10,0,Over 120 minutes a day
46995,0,34,9,1,60-120 minutes a day
295000,1,15,9,0,Over 120 minutes a day
190000,0,6,6,0,30-60 minutes a day
112777,0,15,4,0,30-60 minutes a day
44037,0,6,8,0,15-30 minutes a day
69814,0,5,5,0,60-120 minutes a day
13985,1,30,9,0,30-60 minutes a day
162105,0,12,6,1,30-60 minutes a day
53703,1,3,5,0,30-60 minutes a day
96666,0,6,7,1,15-30 minutes a day
118919,1,9,9,0,15-30 minutes a day
37592,0,2,7,0,Less than 15 minutes a day
73839,0,21,3,1,15-30 minutes a day
1824,0,7,5,0,15-30 minutes a day
129524,1,12,9,1,30-60 minutes a day
95000,0,10,5,0,60-120 minutes a day
79617,0,24,8,0,30-60 minutes a day
115000,1,4,7,1,30-60 minutes a day
51555,1,10,5,1,15-30 minutes a day
44431,1,1,8,0,Over 120 minutes a day
80000,0,24,7,1,15-30 minutes a day
49603,0,4,8,0,30-60 minutes a day
160000,0,15,7,0,15-30 minutes a day
82703,1,2,6,1,30-60 minutes a day
102036,0,20,8,0,30-60 minutes a day
107406,0,15,7,0,15-30 minutes a day
2995,1,28,10,1,60-120 minutes a day
45111,0,5,6,0,30-60 minutes a day
142122,0,32,9,0,30-60 minutes a day
153198,1,0.5,9,0,30-60 minutes a day
130305,1,2,4,1,15-30 minutes a day
65514,1,4,5,0,60-120 minutes a day
225000,1,23,8,1,15-30 minutes a day
47854,0,15,6,1,Over 120 minutes a day
5370,1,27,9,0,15-30 minutes a day
111417,1,8,9,0,15-30 minutes a day
108280,1,10,8,0,30-60 minutes a day
205000,0,22,5,0,15-30 minutes a day
150000,1,16,7,1,60-120 minutes a day
64444,1,14,8,0,30-60 minutes a day
113653,0,9,8,0,30-60 minutes a day
127500,1,10,9,0,30-60 minutes a day
22611,1,6,9,0,15-30 minutes a day
81199,1,5,6,0,15-30 minutes a day
116796,1,5,7,0,15-30 minutes a day
81629,0,14,6,0,30-60 minutes a day
92000,0,5,3,1,30-60 minutes a day
300000,1,4,8,0,30-60 minutes a day
120000,0,0.5,7,0,60-120 minutes a day
64444,0,5,6,1,60-120 minutes a day
1000000,1,18,9,1,30-60 minutes a day
87231,0,16,10,1,15-30 minutes a day
150000,0,4,7,0,30-60 minutes a day
39404,0,19,6,0,30-60 minutes a day
69814,0,9,7,0,60-120 minutes a day
189002,1,21,9,0,30-60 minutes a day
320000,0,10,8,0,Less than 15 minutes a day
121018,1,10,6,1,30-60 minutes a day
200000,1,20,2,1,60-120 minutes a day
5327,1,10,8,0,60-120 minutes a day
4785,1,27,6,1,Less than 15 minutes a day
30718,0,17,1,0,30-60 minutes a day
83777,1,15,8,1,30-60 minutes a day
64444,1,10,10,0,Over 120 minutes a day
26852,0,33,8,1,15-30 minutes a day
10336,1,17,3,0,30-60 minutes a day
120330,1,13,7,0,30-60 minutes a day
32222,1,15,6,1,30-60 minutes a day
6586,0,4,7,1,15-30 minutes a day
113334,0,20,7,1,30-60 minutes a day
15600,0,25,10,1,Less than 15 minutes a day
145222,1,18,5,1,60-120 minutes a day
73036,0,12,9,0,30-60 minutes a day
91000,0,10,8,1,Less than 15 minutes a day
110000,1,25,8,1,15-30 minutes a day
180000,0,6,8,0,Over 120 minutes a day
