imputation,model,r2,adj_r2,cv_r2
pmm,model_1_compensation,0.05916244208716661,0.05909013856297836,0.05905204633496715
cart,model_1_compensation,0.04295977810641981,0.042886229404786036,0.04301064856196636
rf,model_1_compensation,0.01877102595220538,0.018695618340909916,0.01893943972416833
