Job_Satisfaction,Uses_AI,Salary,TimeSearching_Min,Years_Exp,Is_Remote
7,0,16807,NA,20,1
10,0,2363,NA,25,1
5,1,112777,NA,18,1
9,0,32583,NA,12,0
8,0,153000,NA,10,1
8,1,78508,NA,25,1
8,0,110000,NA,6,0
7,1,2065,NA,2,0
7,0,30074,NA,6,0
10,1,3867,NA,11,0
7,1,200000,NA,30,1
10,1,91295,NA,6,1
5,0,22746,NA,2,0
9,0,165000,NA,15,1
7,1,105279,NA,22,0
2,1,70865,NA,14,1
7,1,165000,NA,22,1
9,0,180000,NA,26,1
8,1,140000,NA,5,1
7,1,161044,NA,18,0
10,0,120379,NA,17,1
2,1,54520,NA,2,0
7,1,121018,NA,25,1
5,0,74000,NA,40,1
5,0,195000,NA,30,1
6,1,35032,NA,1,1
2,0,91295,NA,12,0
9,0,106694,NA,20,0
7,0,44586,NA,20,1
4,0,74833,NA,6,0
5,0,89147,NA,25,0
6,1,115000,NA,4,0
6,1,4907,NA,0.5,0
10,1,60000,NA,19,1
1,1,57999,NA,50,0
8,1,91295,NA,11,1
8,0,184712,NA,27,1
10,0,29000,NA,1,0
7,0,80000,NA,9,0
7,1,52639,NA,8,0
7,0,85925,NA,30,1
7,1,124840,NA,15,1
8,1,230000,NA,11,1
7,1,92993,NA,18,0
8,0,85000,NA,23,0
7,0,160000,NA,18,1
7,1,175875,NA,17,1
8,1,61513,NA,7,1
7,1,63000,NA,2,1
5,0,59073,NA,10,0
8,1,110000,NA,23,1
5,1,84138,NA,25,0
5,0,190000,NA,18,0
8,1,161783,NA,17,1
8,1,12773,NA,1,0
6,1,69814,NA,10,0
6,0,115000,NA,10,0
7,0,121859,NA,12,0
8,0,158000,NA,39,0
7,0,69814,NA,22,0
1,0,300000,NA,18,0
8,1,88035,NA,11,0
3,0,52122,NA,11,0
2,1,54777,NA,8,0
7,1,254425,NA,24,0
8,0,140000,NA,40,1
8,0,57325,NA,4,0
9,0,107000,NA,20,0
5,1,37297,NA,12,1
6,1,85925,NA,11,0
8,0,140000,NA,26,1
8,1,105846,NA,25,1
4,1,213840,NA,9,0
10,0,2153432,NA,2,0
8,0,200000,NA,40,1
7,1,63694,NA,5,0
8,0,32222,NA,15,1
9,1,53703,NA,3,1
7,1,148,NA,0.5,0
8,1,93000,NA,4,1
4,0,65000,NA,10,0
8,0,67227,NA,14,1
9,1,144998,NA,10,0
6,1,119943,NA,17,0
7,0,295000,NA,21,1
0,0,200000,NA,25,1
7,0,85925,NA,13,0
7,1,100000,NA,9,0
5,1,14142,NA,7,0
0,1,102000,NA,22,1
6,0,123654,NA,15,1
9,1,650,NA,1,1
8,1,161109,NA,11,1
6,1,54941,NA,2,0
7,0,170000,NA,11,1
8,1,57325,NA,13,0
7,1,48333,NA,28,0
7,1,5425,NA,10,0
7,1,167125,NA,44,0
5,0,134000,NA,29,1
3,0,19661,NA,9,1
8,1,79218,NA,13,0
9,1,175000,NA,20,0
6,0,650000,NA,10,0
8,0,85925,NA,16,0
8,0,61714,NA,9,1
10,1,47843,NA,10,1
8,1,107406,NA,27,0
8,0,31200,NA,10,1
8,0,130000,NA,25,1
6,1,75000,NA,1,0
6,0,90221,NA,10,0
2,1,3618,NA,0.5,0
8,1,150000,NA,13,0
8,0,400000,NA,19,1
9,1,3618,NA,1,0
8,1,13160,NA,4,1
6,0,160000,NA,9,1
3,0,73036,NA,2,0
4,1,2411,NA,13,1
6,0,50340,NA,17,1
2,1,32222,NA,13,1
8,1,53703,NA,20,1
6,1,42300,NA,7,1
7,0,49681,NA,3,0
8,1,100000,NA,9,0
9,0,216000,NA,14,0
4,1,100000,NA,15,1
6,0,220000,NA,22,1
7,1,494,NA,2,1
8,1,220000,NA,13,1
8,1,250000,NA,22,1
10,1,218079,NA,12,1
10,1,140000,NA,35,1
5,0,66592,NA,9,0
6,1,1975,NA,3,0
8,0,75159,NA,10,0
8,0,150000,NA,25,0
9,1,750000,NA,10,0
8,1,104458,NA,9,1
10,0,85925,NA,13,0
7,1,65000,NA,5,1
7,0,96666,NA,10,0
8,1,100000,NA,15,1
2,0,47259,NA,7,1
9,1,150000,NA,31,1
10,0,139239,NA,12,0
2,1,96666,NA,12,1
6,0,150000,NA,10,0
7,1,90221,NA,13,0
8,1,432000,NA,7,0
5,0,1740,NA,8,1
8,0,152865,NA,41,0
7,1,3021,NA,2,1
6,0,29000,NA,25,1
3,0,163,NA,2,1
9,1,67516,NA,10,0
8,0,64444,NA,36,0
5,1,185000,NA,20,1
8,0,85925,NA,10,1
6,0,91295,NA,11,1
2,1,67666,NA,12,0
6,0,178343,NA,11,1
7,1,63370,NA,6,0
4,0,85350,NA,14,1
9,0,120000,NA,3,0
9,1,97740,NA,20,1
9,0,85925,NA,25,0
7,1,205000,NA,7,1
6,0,85000,NA,2,0
6,1,93980,NA,11,1
9,1,140000,NA,5,1
9,1,128129,NA,6,0
9,0,44037,NA,12,0
9,1,101000,NA,1,0
9,1,300000,NA,24,1
6,0,89147,NA,14,0
9,1,150000,NA,37,1
7,1,155000,NA,28,1
3,0,64444,NA,30,0
9,1,107406,NA,24,0
5,1,90221,NA,10,0
9,0,86999,NA,10,1
3,0,48333,NA,8,1
0,1,190000,NA,17,1
3,0,140000,NA,5,1
10,1,31847,NA,0.5,0
8,0,37592,NA,30,0
8,0,53703,NA,30,0
8,1,23927,NA,15,1
2,1,150369,NA,11,0
6,0,10955,NA,1,0
2,1,32222,NA,24,1
10,1,138000,NA,0.5,0
10,1,47854,NA,11,1
6,1,36608,NA,6,0
8,0,72065,NA,21,0
7,0,118000,NA,5,0
2,0,150000,NA,20,0
9,1,87250,NA,2,0
6,1,150000,NA,5,1
5,1,55851,NA,5,0
8,1,42962,NA,22,1
7,0,56925,NA,6,0
7,1,91295,NA,8,0
9,0,56022,NA,18,1
8,0,43824,NA,13,0
9,1,124000,NA,10,0
2,1,10070,NA,4,0
8,1,91295,NA,11,1
9,0,120000,NA,40,1
8,1,44037,NA,1,0
9,1,85925,NA,7,0
5,1,85000,NA,5,0
8,1,6230,NA,26,0
5,1,4937,NA,2,1
7,1,30000,NA,1,0
2,1,139628,NA,17,1
5,0,205000,NA,10,1
8,0,50915,NA,7,0
8,0,48333,NA,18,1
8,1,69814,NA,6,1
7,0,49681,NA,18,0
8,0,32222,NA,13,0
8,0,257000,NA,5,0
7,1,163000,NA,13,1
7,1,26363,NA,6,0
9,1,70584,NA,9,0
8,1,200000,NA,15,1
5,0,57999,NA,25,0
8,1,74239,NA,12,0
8,0,66592,NA,5,0
2,1,53972,NA,10,1
8,0,27926,NA,10,0
9,0,105000,NA,7,1
8,1,49233,NA,38,1
2,1,43435,NA,18,0
8,0,25777,NA,3,0
7,1,48000,NA,6,1
5,0,70000,NA,12,0
7,0,150000,NA,25,0
8,1,127388,NA,13,1
5,1,53703,NA,31,0
7,1,91295,NA,12,0
8,1,165000,NA,9,1
9,0,122124,NA,15,1
7,1,80555,NA,14,1
8,0,149746,NA,10,0
10,1,402000,NA,26,0
6,0,37026,NA,6,1
8,1,76258,NA,20,0
1,1,80555,NA,14,1
2,0,175000,NA,17,1
2,0,68535,NA,14,0
8,1,120000,NA,2,0
6,0,114649,NA,11,1
10,1,112777,NA,15,0
8,1,33121,NA,0.5,0
10,0,127388,NA,27,0
