seed,imputation,nsplit,xerror,Uses_AI,Salary,TimeSearching_Min,Years_Exp,Is_Remote
42,1,125,0.9807136127520636,0,214.92336672707188,2660.756923553136,783.4335000995469,0
42,2,180,0.9792202366882921,0,571.6720892831933,2194.2091925091763,1380.8788645419022,0.8052964809101419
42,3,150,0.9802058391775167,0,406.3317278349508,2406.3836889336335,930.7076798049108,0.42322115039511676
42,4,150,0.9785641910657471,0,139.66528166092417,2604.8341842201057,1192.2677391640211,0
42,5,190,0.978160419584009,13.759076779724763,380.0800655352944,2682.6291623211305,1276.780414705943,9.693895003897019
100,1,175,0.9805881610236066,0,473.92155821144564,2260.586003798196,1041.524916933915,0
100,2,200,0.9794597439300419,0,622.4499522694696,2504.619145219071,1108.715877513595,12.522946842127816
100,3,180,0.9790057320809945,0,333.66244452193064,2405.1958403711615,1061.2721263941874,0
100,4,215,0.9765389979043702,0,565.3629640754456,2554.996924465368,1213.1404443415934,10.28366386629811
100,5,190,0.9781277674230469,0,526.6240886003958,2499.5408471292467,1130.348509279992,0
200,1,150,0.9778390565172013,0,644.7968982178635,2304.251961209315,1200.2527342534934,0
200,2,180,0.9769311121327919,0,729.1294990042117,2560.6353345924404,1024.629672299259,0
200,3,210,0.9763768197003545,0,878.2829449988146,2881.6071638929484,898.6683528306302,6.166909564839734
200,4,185,0.9800844939627207,0,188.64762883704088,2399.113987226495,1379.064909792802,0
200,5,200,0.9806592693186085,0,817.3610069208544,2368.7989101395583,1009.8034134117318,0
300,1,140,0.9800309189311526,0,449.79015128897686,2378.440170780289,890.0133866990815,0
300,2,155,0.9813712456682929,0,365.7685014840042,2370.5696567943714,758.6955894463224,0
300,3,175,0.9796405895421431,0,321.973312890197,2376.4871650106406,1113.5975642472886,0
300,4,150,0.9792104669006659,0,473.49080088782654,2627.9704200778233,998.0848299104066,0
300,5,210,0.9767819346634972,0,899.4387587556089,2683.3919975509802,1092.9063539717804,8.77897834264536
400,1,190,0.9791138865451711,0,649.5669666713186,2403.2550344186175,1043.0151178617039,8.752853329888593
400,2,120,0.9809844218981757,0,252.9575958513424,2429.25721447691,917.4258877765333,0
400,3,190,0.9789507969657865,3.160818127810127,646.655456540251,2531.649339023351,997.1824922865264,0
400,4,200,0.9777628953371909,0,891.5487293229571,2753.5597092355897,862.229179534882,6.922762010739999
400,5,230,0.9803068208071651,0,979.8060775708578,2397.994590939097,1171.7815567425753,0
